,la,esperanto
verko,havas,esperanto
havas,tre,esperanto
tre,altan,esperanto
altan,rangon,esperanto
rangon,eble,esperanto
eble,la,esperanto
la,plej,esperanto
plej,altan,esperanto
altan,rangon,esperanto
rangon,inter,esperanto
inter,la,esperanto
la,literaturaj,esperanto
literaturaj,trezoroj,esperanto
trezoroj,de,esperanto
de,la,esperanto
la,angla,esperanto
angla,infanaro,esperanto
infanaro,sesjara,esperanto
sesjara,infano,esperanto
infano,volas,esperanto
volas,avide,esperanto
avide,aŭskulti,esperanto
aŭskulti,ĝin,esperanto
ĝin,vigle,esperanto
vigle,proponas,esperanto
proponas,demandojn,esperanto
demandojn,kaj,esperanto
kaj,kritikojn,esperanto
kritikojn,pri,esperanto
pri,la,esperanto
la,diversaj,esperanto
diversaj,aventuroj,esperanto
aventuroj,sed,esperanto
sed,la,esperanto
la,intereso,esperanto
intereso,ĉiam,esperanto
ĉiam,kreskas,esperanto
kreskas,laŭ,esperanto
laŭ,la,esperanto
la,kresko,esperanto
kresko,de,esperanto
de,la,esperanto
la,posedanto,esperanto
posedanto,ĉe,esperanto
ĉe,ĉiu,esperanto
ĉiu,denova,esperanto
denova,tralego,esperanto
tralego,la,esperanto
la,junaj,esperanto
junaj,legantoj,esperanto
legantoj,pli,esperanto
pli,komprenas,esperanto
komprenas,pli,esperanto
pli,kunligas,esperanto
kunligas,kaj,esperanto
kaj,pli,esperanto
pli,retenas,esperanto
retenas,en,esperanto
en,la,esperanto
la,memoro,esperanto
memoro,mi,esperanto
mi,konis,esperanto
konis,infanojn,esperanto
infanojn,kiuj,esperanto
kiuj,fine,esperanto
fine,posedis,esperanto
posedis,la,esperanto
la,tutan,esperanto
tutan,libron,esperanto
libron,tiel,esperanto
tiel,ke,esperanto
ke,ili,esperanto
ili,povus,esperanto
povus,parkere,esperanto
parkere,citi,esperanto
citi,ĉiun,esperanto
ĉiun,agon,esperanto
agon,kaj,esperanto
kaj,diron,esperanto
diron,de,esperanto
de,alicio,esperanto
alicio,de,esperanto
de,la,esperanto
la,muso,esperanto
muso,la,esperanto
la,ĉeŝŝr,esperanto
ĉeŝŝr,kato,esperanto
kato,efektive,esperanto
efektive,de,esperanto
de,ĉiuj,esperanto
ĉiuj,partoprenantoj,esperanto
partoprenantoj,en,esperanto
en,la,esperanto
la,stranga,esperanto
stranga,historio,esperanto
historio,sed,esperanto
sed,oni,esperanto
oni,ne,esperanto
ne,supozu,esperanto
supozu,ke,esperanto
ke,la,esperanto
la,libro,esperanto
libro,taŭgas,esperanto
taŭgas,nur,esperanto
nur,por,esperanto
por,la,esperanto
la,vartejo,esperanto
vartejo,kaj,esperanto
kaj,infanlernejo,esperanto
infanlernejo,ĉar,esperanto
ĉar,la,esperanto
la,kapablo,esperanto
kapablo,ĉe,esperanto
ĉe,ĉiu,esperanto
ĉiu,tralego,esperanto
tralego,trovi,esperanto
trovi,pli,esperanto
pli,da,esperanto
da,signifo,esperanto
signifo,daŭras,esperanto
daŭras,eĉ,esperanto
eĉ,dum,esperanto
dum,la,esperanto
la,maturaĝaj,esperanto
maturaĝaj,jaroj,esperanto
jaroj,inter,esperanto
inter,la,esperanto
la,fervoraj,esperanto
fervoraj,amikoj,esperanto
amikoj,de,esperanto
de,alicio,esperanto
alicio,troviĝas,esperanto
troviĝas,eĉ,esperanto
eĉ,sesdekjaraj,esperanto
sesdekjaraj,profesoroj,esperanto
profesoroj,kiuj,esperanto
kiuj,de,esperanto
de,tempo,esperanto
tempo,al,esperanto
al,tempo,esperanto
tempo,volas,esperanto
volas,klarigi,esperanto
klarigi,iun,esperanto
iun,profundan,esperanto
profundan,principon,esperanto
principon,kiun,esperanto
kiun,ili,esperanto
ili,ĵus,esperanto
ĵus,eligis,esperanto
eligis,el,esperanto
el,la,esperanto
la,diroj,esperanto
diroj,ekzemple,esperanto
ekzemple,de,esperanto
de,la,esperanto
la,raŭpo,esperanto
raŭpo,aŭ,esperanto
aŭ,la,esperanto
la,falsa,esperanto
falsa,kelonio,esperanto
kelonio,sed,esperanto
sed,ni,esperanto
ni,lasu,esperanto
lasu,la,esperanto
la,parolon,esperanto
parolon,al,esperanto
al,la,esperanto
la,sonĝbestoj,esperanto
sonĝbestoj,mem,esperanto
mem,prezentante,esperanto
prezentante,ĉi,esperanto
ĉi,tiun,esperanto
tiun,libron,esperanto
libron,al,esperanto
al,la,esperanto
la,esperantistoj,esperanto
esperantistoj,mi,esperanto
mi,volas,esperanto
volas,esprimi,esperanto
esprimi,mian,esperanto
mian,danksenton,esperanto
danksenton,al,esperanto
al,ĉiuj,esperanto
ĉiuj,miaj,esperanto
miaj,helpintoj,esperanto
helpintoj,apartajn,esperanto
apartajn,dankojn,esperanto
dankojn,mi,esperanto
mi,ŝuldas,esperanto
ŝuldas,al,esperanto
al,kapitano,esperanto
kapitano,cp,esperanto
cp,cubitt,esperanto
cubitt,kiu,esperanto
kiu,zorge,esperanto
zorge,tralegis,esperanto
tralegis,kaj,esperanto
kaj,detale,esperanto
detale,korektis,esperanto
korektis,por,esperanto
por,mi,esperanto
mi,ĉiujn,esperanto
ĉiujn,presprovaĵojn,esperanto
presprovaĵojn,kaj,esperanto
kaj,al,esperanto
al,l,esperanto
l,eldonisto,esperanto
eldonisto,de,esperanto
de,steads,esperanto
steads,prose,esperanto
prose,classics,esperanto
classics,mi,esperanto
mi,dankas,esperanto
dankas,la,esperanto
la,permeson,esperanto
permeson,uzi,esperanto
uzi,kelkajn,esperanto
kelkajn,ilustraĵojn,esperanto
ilustraĵojn,de,esperanto
de,brinsley,esperanto
brinsley,de,esperanto
de,fanu,esperanto
fanu,unue,esperanto
unue,aperintajn,esperanto
aperintajn,en,esperanto
en,ilia,esperanto
ilia,konata,esperanto
konata,books,esperanto
books,for,esperanto
for,the,esperanto
the,bairns,esperanto
bairns,infanlibra,esperanto
infanlibra,eldono,esperanto
eldono,de,esperanto
de,alicio,esperanto
alicio,en,esperanto
en,mirlando,esperanto
mirlando,tiu,esperanto
tiu,eldono,esperanto
eldono,enhavas,esperanto
enhavas,pli,esperanto
pli,ol,esperanto
ol,kvindek,esperanto
kvindek,bildojn,esperanto
bildojn,kaj,esperanto
kaj,kostas,esperanto
kostas,nur,esperanto
nur,tri,esperanto
tri,pencojn,esperanto
pencojn,125,esperanto
125,sd,esperanto
sd,do,esperanto
do,komparante,esperanto
komparante,la,esperanto
la,tradukon,esperanto
tradukon,kun,esperanto
kun,la,esperanto
la,originalo,esperanto
originalo,neanglaj,esperanto
neanglaj,esperantistoj,esperanto
esperantistoj,povos,esperanto
povos,je,esperanto
je,tre,esperanto
tre,malkara,esperanto
malkara,prezo,esperanto
prezo,pliperfektigi,esperanto
pliperfektigi,sin,esperanto
sin,en,esperanto
en,la,esperanto
la,angla,esperanto
angla,lingvo,esperanto
lingvo,angloj,esperanto
angloj,neesperantistaj,esperanto
neesperantistaj,povos,esperanto
povos,facile,esperanto
facile,lerni,esperanto
lerni,la,esperanto
la,komunan,esperanto
komunan,lingvon,esperanto
lingvon,de,esperanto
de,la,esperanto
la,homaro,esperanto
homaro,kaj,esperanto
kaj,ĉiu,esperanto
ĉiu,kiu,esperanto
kiu,bone,esperanto
bone,konas,esperanto
konas,ambaŭ,esperanto
ambaŭ,lingvojn,esperanto
lingvojn,povos,esperanto
povos,tre,esperanto
tre,facile,esperanto
facile,fari,esperanto
fari,siajn,esperanto
siajn,kritikojn,esperanto
kritikojn,kaj,esperanto
kaj,plendi,esperanto
plendi,pri,esperanto
pri,eraroj,esperanto
eraroj,de,esperanto
de,la,esperanto
la,tradukinto,esperanto
tradukinto,enhavo,esperanto
enhavo,ĉapitro,esperanto
ĉapitro,paĝo,esperanto
paĝo,i,esperanto
i,mirinda,esperanto
mirinda,falego,esperanto
falego,1,esperanto
1,ii,esperanto
ii,lageto,esperanto
lageto,farita,esperanto
farita,el,esperanto
el,larmoj,esperanto
larmoj,11,esperanto
11,iii,esperanto
iii,post,esperanto
post,stranga,esperanto
stranga,vetkuro,esperanto
vetkuro,sekvas,esperanto
sekvas,stranga,esperanto
stranga,mustejlo,esperanto
mustejlo,20,esperanto
20,iv,esperanto
iv,ĉefe,esperanto
ĉefe,pri,esperanto
pri,unu,esperanto
unu,lacerto,esperanto
lacerto,nomata,esperanto
nomata,bil,esperanto
bil,29,esperanto
29,v,esperanto
v,alicio,esperanto
alicio,ricevas,esperanto
ricevas,admonon,esperanto
admonon,de,esperanto
de,la,esperanto
la,raŭpo,esperanto
raŭpo,40,esperanto
40,vi,esperanto
vi,pri,esperanto
pri,la,esperanto
la,porkinfano,esperanto
porkinfano,50,esperanto
50,vii,esperanto
vii,tetrinkado,esperanto
tetrinkado,ĉe,esperanto
ĉe,frenezuloj,esperanto
frenezuloj,63,esperanto
63,viii,esperanto
viii,kroketludo,esperanto
kroketludo,ĉe,esperanto
ĉe,la,esperanto
la,kera,esperanto
kera,damo,esperanto
damo,76,esperanto
76,ix,esperanto
ix,vivhistorio,esperanto
vivhistorio,de,esperanto
de,la,esperanto
la,falsa,esperanto
falsa,kelonio,esperanto
kelonio,88,esperanto
88,x,esperanto
x,la,esperanto
la,omara,esperanto
omara,kvadrilo,esperanto
kvadrilo,101,esperanto
101,xi,esperanto
xi,kiu,esperanto
kiu,forŝtelis,esperanto
forŝtelis,la,esperanto
la,tortojn,esperanto
tortojn,112,esperanto
112,xii,esperanto
xii,alicio,esperanto
alicio,atestanto,esperanto
atestanto,122,esperanto
122,ilustraĵoj,esperanto
ilustraĵoj,paĝo,esperanto
paĝo,de,esperanto
de,unu,esperanto
unu,el,esperanto
el,la,esperanto
la,bretoj,esperanto
bretoj,alicio,esperanto
alicio,falante,esperanto
falante,tra,esperanto
tra,la,esperanto
la,ŝakto,esperanto
ŝakto,deprenis,esperanto
deprenis,marmeladujon,esperanto
marmeladujon,3,esperanto
3,la,esperanto
la,dodo,esperanto
dodo,solene,esperanto
solene,prezentas,esperanto
prezentas,al,esperanto
al,alicio,esperanto
alicio,ŝian,esperanto
ŝian,propran,esperanto
propran,fingroingon,esperanto
fingroingon,24,esperanto
24,la,esperanto
la,kuniklo,esperanto
kuniklo,falas,esperanto
falas,en,esperanto
en,sian,esperanto
sian,kukumejon,esperanto
kukumejon,33,esperanto
33,la,esperanto
la,dukina,esperanto
dukina,kuirejo,esperanto
kuirejo,53,esperanto
53,domo,esperanto
domo,de,esperanto
de,la,esperanto
la,martleporo,esperanto
martleporo,62,esperanto
62,la,esperanto
la,gliro,esperanto
gliro,estas,esperanto
estas,enigata,esperanto
enigata,en,esperanto
en,la,esperanto
la,tekruĉon,esperanto
tekruĉon,74,esperanto
74,la,esperanto
la,vitra,esperanto
vitra,tablo,esperanto
tablo,78,esperanto
78,la,esperanto
la,gereĝoj,esperanto
gereĝoj,argumentas,esperanto
argumentas,kun,esperanto
kun,la,esperanto
la,ekzekutisto,esperanto
ekzekutisto,pri,esperanto
pri,ekzekuto,esperanto
ekzekuto,de,esperanto
de,la,esperanto
la,senkorpa,esperanto
senkorpa,katkapo,esperanto
katkapo,86,esperanto
86,la,esperanto
la,grifo,esperanto
grifo,profunde,esperanto
profunde,dormis,esperanto
dormis,94,esperanto
94,la,esperanto
la,kuiristino,esperanto
kuiristino,rifuzas,esperanto
rifuzas,atesti,esperanto
atesti,120,esperanto
120,antaŭparolo,esperanto
antaŭparolo,de,esperanto
de,la,esperanto
la,aŭtoro,esperanto
aŭtoro,i,esperanto
i,en,esperanto
en,somerbril,esperanto
somerbril,ni,esperanto
ni,glitas,esperanto
glitas,kvar,esperanto
kvar,du,esperanto
du,fuŝe,esperanto
fuŝe,uzas,esperanto
uzas,remon,esperanto
remon,fuŝregas,esperanto
fuŝregas,tria,esperanto
tria,knabinet,esperanto
knabinet,boatan,esperanto
boatan,la,esperanto
la,vagemon,esperanto
vagemon,la,esperanto
la,kvara,esperanto
kvara,nejunulo,esperanto
nejunulo,celas,esperanto
celas,indulgi,esperanto
indulgi,la,esperanto
la,revemon,esperanto
revemon,ii,esperanto
ii,kruela,esperanto
kruela,tri,esperanto
tri,ĉu,esperanto
ĉu,volas,esperanto
volas,vi,esperanto
vi,en,esperanto
en,tia,esperanto
tia,hor—rakonton,esperanto
hor—rakonton,se,esperanto
se,pri,esperanto
pri,la,esperanto
la,astmo,esperanto
astmo,scius,esperanto
scius,vi,esperanto
vi,vi,esperanto
vi,eble,esperanto
eble,sentus,esperanto
sentus,honton,esperanto
honton,—protesto,esperanto
—protesto,senutila,esperanto
senutila,venkas,esperanto
venkas,trivoĉa,esperanto
trivoĉa,kri,esperanto
kri,rakonton,esperanto
rakonton,iii,esperanto
iii,unua,esperanto
unua,per,esperanto
per,komanda,esperanto
komanda,voĉo,esperanto
voĉo,ordonas,esperanto
ordonas,ekrakonti,esperanto
ekrakonti,kaj,esperanto
kaj,pli,esperanto
pli,ĝentile,esperanto
ĝentile,dua,esperanto
dua,petas,esperanto
petas,jes,esperanto
jes,nepre,esperanto
nepre,mirrakonti,esperanto
mirrakonti,rakonton,esperanto
rakonton,petolrompas,esperanto
petolrompas,tria,esperanto
tria,ne,esperanto
ne,scias,esperanto
scias,ŝi,esperanto
ŝi,ja,esperanto
ja,honti,esperanto
honti,iv,esperanto
iv,silento,esperanto
silento,falas,esperanto
falas,de,esperanto
de,nun,esperanto
nun,ĉiu,esperanto
ĉiu,aŭskultas,esperanto
aŭskultas,plenkredulo,esperanto
plenkredulo,pri,esperanto
pri,l,esperanto
l,sonĝinfano,esperanto
sonĝinfano,kiu,esperanto
kiu,vivas,esperanto
vivas,kun,esperanto
kun,bird,esperanto
bird,kaj,esperanto
kaj,best,esperanto
best,kunulo,esperanto
kunulo,kunul,esperanto
kunul,jen,esperanto
jen,kiel,esperanto
kiel,arbo,esperanto
arbo,alta,esperanto
alta,jen,esperanto
jen,eta,esperanto
eta,kiel,esperanto
kiel,kulo,esperanto
kulo,v,esperanto
v,tre,esperanto
tre,ofte,esperanto
ofte,volus,esperanto
volus,la,esperanto
la,laculo,esperanto
laculo,la,esperanto
la,sonĝon,esperanto
sonĝon,maldaŭrigi,esperanto
maldaŭrigi,promesas,esperanto
promesas,je,esperanto
je,sekvanta,esperanto
sekvanta,fojo,esperanto
fojo,ĝin,esperanto
ĝin,iom,esperanto
iom,plilongigi,esperanto
plilongigi,jam,esperanto
jam,venis,esperanto
venis,la,esperanto
la,sekvanta,esperanto
sekvanta,fojo,esperanto
fojo,nin,esperanto
nin,volu,esperanto
volu,kontentigi,esperanto
kontentigi,vi,esperanto
vi,do,esperanto
do,kreskis,esperanto
kreskis,plu,esperanto
plu,la,esperanto
la,mirlandaĵoj,esperanto
mirlandaĵoj,iom,esperanto
iom,post,esperanto
post,iom,esperanto
iom,grade,esperanto
grade,naskiĝis,esperanto
naskiĝis,ĉiuj,esperanto
ĉiuj,en,esperanto
en,boato,esperanto
boato,dum,esperanto
dum,vagis,esperanto
vagis,ni,esperanto
ni,remade,esperanto
remade,—subiras,esperanto
—subiras,sun,esperanto
sun,do,esperanto
do,hejmen,esperanto
hejmen,gaje,esperanto
gaje,ni,esperanto
ni,remas,esperanto
remas,babilade,esperanto
babilade,vii,esperanto
vii,jen,esperanto
jen,alici,esperanto
alici,akceptu,esperanto
akceptu,ŝin,esperanto
ŝin,kaj,esperanto
kaj,gardu,esperanto
gardu,en,esperanto
en,memoro,esperanto
memoro,al,esperanto
al,pilgrimint,esperanto
pilgrimint,ja,esperanto
ja,kara,esperanto
kara,estas,esperanto
estas,el,esperanto
el,malproksim,esperanto
malproksim,la,esperanto
la,floro,esperanto
floro,velkinte,esperanto
velkinte,ĝi,esperanto
ĝi,memorojn,esperanto
memorojn,vekas,esperanto
vekas,valorajn,esperanto
valorajn,pli,esperanto
pli,ol,esperanto
ol,oro,esperanto
oro,la,esperanto
la,aventuroj,esperanto
aventuroj,de,esperanto
de,alicio,esperanto
alicio,en,esperanto
en,mirlando,esperanto
mirlando,ĉapitro,esperanto
ĉapitro,i,esperanto
i,mirinda,esperanto
mirinda,falego,esperanto
falego,alicio,esperanto
alicio,jam,esperanto
jam,longan,esperanto
longan,tempon,esperanto
tempon,sidinte,esperanto
sidinte,apud,esperanto
apud,sia,esperanto
sia,fratino,esperanto
fratino,sur,esperanto
sur,la,esperanto
la,deklivo,esperanto
deklivo,tre,esperanto
tre,enuiĝis,esperanto
enuiĝis,pro,esperanto
pro,senokupo,esperanto
senokupo,unu,esperanto
unu,du,esperanto
du,foje,esperanto
foje,ŝi,esperanto
ŝi,prove,esperanto
prove,rigardis,esperanto
rigardis,en,esperanto
en,la,esperanto
la,libron,esperanto
libron,kiun,esperanto
kiun,la,esperanto
la,fratino,esperanto
fratino,legas,esperanto
legas,sed,esperanto
sed,povis,esperanto
povis,vidi,esperanto
vidi,en,esperanto
en,ĝi,esperanto
ĝi,nek,esperanto
nek,desegnojn,esperanto
desegnojn,nek,esperanto
nek,konversaciojn,esperanto
konversaciojn,kaj,esperanto
kaj,por,esperanto
por,kio,esperanto
kio,utilas,esperanto
utilas,libro,esperanto
libro,pensis,esperanto
pensis,ŝi,esperanto
ŝi,enhavanta,esperanto
enhavanta,nek,esperanto
nek,desegnojn,esperanto
desegnojn,nek,esperanto
nek,konversaciojn,esperanto
konversaciojn,ŝi,esperanto
ŝi,do,esperanto
do,ekpripensis—ne,esperanto
ekpripensis—ne,tre,esperanto
tre,vigle,esperanto
vigle,ĉar,esperanto
ĉar,la,esperanto
la,tago,esperanto
tago,estis,esperanto
estis,varma,esperanto
varma,kaj,esperanto
kaj,ŝi,esperanto
ŝi,sentis,esperanto
sentis,sin,esperanto
sin,tre,esperanto
tre,dormema—ĉu,esperanto
dormema—ĉu,la,esperanto
la,plezuro,esperanto
plezuro,fari,esperanto
fari,ĉenon,esperanto
ĉenon,el,esperanto
el,lekantetoj,esperanto
lekantetoj,valorus,esperanto
valorus,la,esperanto
la,laboron,esperanto
laboron,sin,esperanto
sin,levi,esperanto
levi,kaj,esperanto
kaj,kolekti,esperanto
kolekti,lekantetojn,esperanto
lekantetojn,kiam,esperanto
kiam,tutapude,esperanto
tutapude,preterkuris,esperanto
preterkuris,blanka,esperanto
blanka,kuniklo,esperanto
kuniklo,kun,esperanto
kun,paleruĝaj,esperanto
paleruĝaj,okuloj,esperanto
okuloj,tio,esperanto
tio,ja,esperanto
ja,ne,esperanto
ne,estis,esperanto
estis,tre,esperanto
tre,mirinda,esperanto
mirinda,ankaŭ,esperanto
ankaŭ,ne,esperanto
ne,ŝajnis,esperanto
ŝajnis,al,esperanto
al,alicio,esperanto
alicio,tre,esperanto
tre,eksterordinare,esperanto
eksterordinare,aŭdi,esperanto
aŭdi,la,esperanto
la,kuniklon,esperanto
kuniklon,diranta,esperanto
diranta,al,esperanto
al,si—,esperanto
si—,ho,esperanto
ho,ve,esperanto
ve,mi,esperanto
mi,malfruos,esperanto
malfruos,kiam,esperanto
kiam,poste,esperanto
poste,ŝi,esperanto
ŝi,pripensadis,esperanto
pripensadis,la,esperanto
la,aferon,esperanto
aferon,ŝajnis,esperanto
ŝajnis,al,esperanto
al,ŝi,esperanto
ŝi,ke,esperanto
ke,tio,esperanto
tio,estis,esperanto
estis,efektive,esperanto
efektive,mirinda,esperanto
mirinda,sed,esperanto
sed,en,esperanto
en,la,esperanto
la,momento,esperanto
momento,mem,esperanto
mem,ĝi,esperanto
ĝi,ŝajnis,esperanto
ŝajnis,al,esperanto
al,ŝi,esperanto
ŝi,tute,esperanto
tute,ordinara,esperanto
ordinara,tamen,esperanto
tamen,kiam,esperanto
kiam,la,esperanto
la,kuniklo,esperanto
kuniklo,el,esperanto
el,sia,esperanto
sia,veŝta,esperanto
veŝta,poŝo,esperanto
poŝo,eligis,esperanto
eligis,poŝhorloĝon,esperanto
poŝhorloĝon,kaj,esperanto
kaj,rigardinte,esperanto
rigardinte,ĝin,esperanto
ĝin,tuj,esperanto
tuj,plirapidis,esperanto
plirapidis,alicio,esperanto
alicio,eksaltis,esperanto
eksaltis,sur,esperanto
sur,la,esperanto
la,piedojn,esperanto
piedojn,ĉar,esperanto
ĉar,subite,esperanto
subite,frapis,esperanto
frapis,ŝin,esperanto
ŝin,la,esperanto
la,ideo,esperanto
ideo,ke,esperanto
ke,neniam,esperanto
neniam,antaŭe,esperanto
antaŭe,ŝi,esperanto
ŝi,vidis,esperanto
vidis,kuniklon,esperanto
kuniklon,kiu,esperanto
kiu,havas,esperanto
havas,veŝtpoŝon,esperanto
veŝtpoŝon,kaj,esperanto
kaj,poŝhorloĝon,esperanto
poŝhorloĝon,la,esperanto
la,scivolemo,esperanto
scivolemo,en,esperanto
en,ŝi,esperanto
ŝi,ekflamiĝis,esperanto
ekflamiĝis,tuj,esperanto
tuj,ŝi,esperanto
ŝi,ekkuris,esperanto
ekkuris,post,esperanto
post,ĝi,esperanto
ĝi,trans,esperanto
trans,la,esperanto
la,kampon,esperanto
kampon,kaj,esperanto
kaj,alvenis,esperanto
alvenis,al,esperanto
al,tuneleto,esperanto
tuneleto,sub,esperanto
sub,la,esperanto
la,kreskaĵa,esperanto
kreskaĵa,barilo,esperanto
barilo,ĝustatempe,esperanto
ĝustatempe,por,esperanto
por,vidi,esperanto
vidi,la,esperanto
la,kuniklon,esperanto
kuniklon,malaperi,esperanto
malaperi,en,esperanto
en,ĝin,esperanto
ĝin,ne,esperanto
ne,konsiderinte,esperanto
konsiderinte,eĉ,esperanto
eĉ,unu,esperanto
unu,momenton,esperanto
momenton,kiamaniere,esperanto
kiamaniere,ŝi,esperanto
ŝi,reeliĝos,esperanto
reeliĝos,alicio,esperanto
alicio,postkuris,esperanto
postkuris,ĝin,esperanto
ĝin,en,esperanto
en,la,esperanto
la,tuneleton,esperanto
tuneleton,la,esperanto
la,tunelo,esperanto
tunelo,ĉe,esperanto
ĉe,la,esperanto
la,unuaj,esperanto
unuaj,paŝoj,esperanto
paŝoj,kondukis,esperanto
kondukis,rekte,esperanto
rekte,antaŭen,esperanto
antaŭen,same,esperanto
same,kiel,esperanto
kiel,fervoja,esperanto
fervoja,tunelo,esperanto
tunelo,sed,esperanto
sed,poste,esperanto
poste,dekliniĝis,esperanto
dekliniĝis,malsupren,esperanto
malsupren,kaj,esperanto
kaj,fariĝis,esperanto
fariĝis,kruta,esperanto
kruta,tio,esperanto
tio,okazis,esperanto
okazis,tiel,esperanto
tiel,subite,esperanto
subite,ke,esperanto
ke,alicio,esperanto
alicio,ne,esperanto
ne,havinte,esperanto
havinte,tempon,esperanto
tempon,por,esperanto
por,malakceliĝi,esperanto
malakceliĝi,trovis,esperanto
trovis,sin,esperanto
sin,vole,esperanto
vole,nevole,esperanto
nevole,defalanta,esperanto
defalanta,tre,esperanto
tre,profundan,esperanto
profundan,ŝakton,esperanto
ŝakton,mi,esperanto
mi,ĵus,esperanto
ĵus,diris,esperanto
diris,tre,esperanto
tre,profundan,esperanto
profundan,nu,esperanto
nu,aŭ,esperanto
aŭ,la,esperanto
la,ŝakto,esperanto
ŝakto,estis,esperanto
estis,efektive,esperanto
efektive,tre,esperanto
tre,profunda,esperanto
profunda,aŭ,esperanto
aŭ,ŝi,esperanto
ŝi,falis,esperanto
falis,tre,esperanto
tre,malrapide,esperanto
malrapide,ĉar,esperanto
ĉar,dum,esperanto
dum,la,esperanto
la,daŭro,esperanto
daŭro,de,esperanto
de,tiu,esperanto
tiu,stranga,esperanto
stranga,defalo,esperanto
defalo,ne,esperanto
ne,mankis,esperanto
mankis,al,esperanto
al,ŝi,esperanto
ŝi,tempo,esperanto
tempo,por,esperanto
por,trankvile,esperanto
trankvile,ĉirkaŭrigardi,esperanto
ĉirkaŭrigardi,kaj,esperanto
kaj,por,esperanto
por,konjekti,esperanto
konjekti,pri,esperanto
pri,kio,esperanto
kio,estas,esperanto
estas,okazonta,esperanto
okazonta,unue,esperanto
unue,ŝi,esperanto
ŝi,klopodis,esperanto
klopodis,rigardi,esperanto
rigardi,malsupren,esperanto
malsupren,por,esperanto
por,esplori,esperanto
esplori,al,esperanto
al,kio,esperanto
kio,ŝi,esperanto
ŝi,alvenas,esperanto
alvenas,sed,esperanto
sed,klopodis,esperanto
klopodis,vane,esperanto
vane,ĉar,esperanto
ĉar,estis,esperanto
estis,tie,esperanto
tie,tro,esperanto
tro,mallume,esperanto
mallume,tiam,esperanto
tiam,ŝi,esperanto
ŝi,ekobservis,esperanto
ekobservis,la,esperanto
la,murojn,esperanto
murojn,de,esperanto
de,la,esperanto
la,ŝakto,esperanto
ŝakto,kaj,esperanto
kaj,rimarkis,esperanto
rimarkis,ke,esperanto
ke,ili,esperanto
ili,estas,esperanto
estas,plenaj,esperanto
plenaj,de,esperanto
de,ŝrankoj,esperanto
ŝrankoj,kaj,esperanto
kaj,librobretoj,esperanto
librobretoj,ankaŭ,esperanto
ankaŭ,tie,esperanto
tie,ĉi,esperanto
ĉi,kaj,esperanto
kaj,tie,esperanto
tie,ŝi,esperanto
ŝi,preterfalis,esperanto
preterfalis,landkartojn,esperanto
landkartojn,kaj,esperanto
kaj,bildojn,esperanto
bildojn,pendigitajn,esperanto
pendigitajn,de,esperanto
de,najloj,esperanto
najloj,poste,esperanto
poste,ŝi,esperanto
ŝi,preterpasante,esperanto
preterpasante,deprenis,esperanto
deprenis,de,esperanto
de,apuda,esperanto
apuda,breto,esperanto
breto,unu,esperanto
unu,fruktaĵujon,esperanto
fruktaĵujon,sur,esperanto
sur,ĝi,esperanto
ĝi,per,esperanto
per,grandaj,esperanto
grandaj,literoj,esperanto
literoj,estas,esperanto
estas,skribita,esperanto
skribita,marmelado,esperanto
marmelado,sed,esperanto
sed,jen,esperanto
jen,por,esperanto
por,ŝi,esperanto
ŝi,granda,esperanto
granda,ĉagreno,esperanto
